"plot","block","Entry","Name","Pedigree"
275,1,274,"FLLA17111-1","LA99017 / LA09015SBS-U1"
276,1,157,"NC14-1574","BYDV121 / NC03-8331"
277,1,45,"LA02065SBSBSBSB-88","LA604/982IBI-64(833/T397)"
278,1,409,"TX20CAS1046","TX14OCS5159/LA07070SBSBSBS-65-S1"
279,1,318,"LA16072SBSS-30-1","LA08016SBSBS-44-S1 / MN2013BT1021-1-2"
280,1,191,"TAMO 606","Citation/84IORN#30 (=CX466-1-B4-D3-5)"
281,1,44,"LA02035-I-J1","LA978GIB-172/HZN LA976"
282,1,239,"FLLA09044-U1","UFRGS 028153-2/LA99016"
283,1,152,"NC14-1514","NC02-8037 / SS76-40"
284,1,137,"NC12-3742","NC02-7989 / SC961246 // Gerard 224"
285,1,347,"FLLA16083-25","LA08084SBSBS-15 / LA06059SBSBSB-46"
286,1,208,"TX10CAS085","TX05F4-585(Sect.495/TAMO406)//TX02U7605"
287,1,357,"TX19CAS0057","TX14OCS5003/LA07023SBS-FS5-Ab1"
288,1,3,"BROOKS","Carolee/Fulgrain/6/Fulgrain/5/CI 5106//Hajira/Joanette/4/ Atlantic/Clinton/Santa Fe/3/CI 2455"
289,1,131,"LA99017 (BUCK)","TX96M1385/LA604"
290,1,432,"LA17080SBS-32-1-1","LA10001SSBS-20 / MN2013BT1021-1-2"
291,1,243,"FL13097-1","BW 837/LA07007SBSB-68 (FL0206FSB-34-S2/LA06070,F1 (UFRGS046048-1/HZN 270))"
292,1,315,"LA17089SBS-25-2","LA10041SSBS-80/LA99017"
293,1,340,"FLLA17081-23","LA10041SSBS-80 / LA16165,F1 (TX09CS065 / BW 08-5)"
294,1,197,"TX02U 7479","92M1009(T386""S""/94Ab347"
295,1,130,"LA99016","TX96M1385/SECTLA495"
296,1,136,"NC12-3578","SS76-40 / NC02-7989 // LA98105B"
297,1,110,"LA09013SBS-U6","SD60130(IL95-1241/W00276)/UFRGS 087212-1"
298,1,32,"FLORIDA 02011","LA9513IBTB-10-1/MF9714-136"
299,1,142,"NC12-3931","Rodgers / NC03-2421"
300,1,253,"FL13123-50","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
301,1,434,"LA17126SBSS-48-1","MN11211 (SA081654)2 / LA10041SSBS-80"
302,1,100,"LA08085BS-T1","UFRGS 046048-1 F6/FL0206FSB-34-S1-B-S1"
303,1,179,"NC14-1974","Gerard 229 / Rodgers"
304,1,419,"TX20CAS1080","TX14OCS5208/TX09CS031//TX15OCS6137"
305,1,151,"NC14-1501","Gerard 224 / Caballo"
306,1,263,"FLLA17051-2","LA09015SBS-U1 / LA16067,F1 (LA07059SBSBSB-44 / NC12-3578)"
307,1,303,"TX20CAS1025","FLO522/TX07CS2783//TAMO405/LA9339(PS)///LA05011GSBS-30/TX02D079"
308,1,9,"Corondo",NA
309,1,171,"NC14-1792","Norline / SS76-40"
310,1,235,"FLLA11019S-8","FL0564-Ab13 / LA06071SBSB-S1"
311,1,105,"LA08085SS-T3","UFRGS 046048-1/FL0206FSB-34-S1-B-S1"
312,1,120,"LA09078SBS-U5","UFRGS 046054-2/MN06120"
313,1,93,"LA08024SBSBS-48-S1","FL0115-J2/LA97006GSB-59-2-4"
314,1,134,"NC11-1798y","NC01-3981 / SS76-40"
