fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"941","23","6","1","2",2960,555.509338378906,0.187672073776658
"942","23","6","1","3",2952,526.552917480469,0.178371584512354
"943","23","7","1","1",2961,161.139892578125,0.0544207675035883
"944","23","7","1","2",2954,126.023315429688,0.0426619212693593
"945","23","7","1","3",2954,162.934143066406,0.055157123583753
"946","23","8","1","1",2956,552.251098632812,0.186823781675512
"947","23","8","1","2",2957,602.990661621094,0.203919736767363
"948","23","8","1","3",2959,555.731536865234,0.187810590356619
"949","23","9","1","1",2957,399.200286865234,0.135001787915196
"950","23","9","1","2",2959,373.266510009766,0.126146167627498
"951","23","9","1","3",2951,355.950103759766,0.120620163930791
"952","23","10","1","1",2956,451.867279052734,0.152864438109856
"953","23","10","1","2",2956,499.810821533203,0.169083498488905
"954","23","10","1","3",2959,598.434967041016,0.202242300453199
"955","23","11","1","1",2956,486.710906982422,0.164651862984581
"956","23","11","1","2",2961,534.808563232422,0.180617549217299
"957","23","11","1","3",2955,601.416534423828,0.203525053950534
"958","23","12","1","1",2961,772.071044921875,0.260746722364699
"959","23","12","1","2",2952,757.911590576172,0.256745118758866
"960","23","12","1","3",2958,743.540649414062,0.251366007239372
"961","23","13","1","1",2954,901.044982910156,0.305025383517318
"962","23","13","1","2",2960,994.909362792969,0.336118027970598
"963","23","13","1","3",2958,1046.29168701172,0.353715918529993
"964","23","14","1","1",2959,829.635650634766,0.280377036375385
"965","23","14","1","2",2957,834.657745361328,0.282265047467477
"966","23","14","1","3",2953,827.833984375,0.280336601549272
"967","24","1","1","1",2955,641.310668945312,0.217025607088092
"968","24","1","1","2",2953,573.635833740234,0.194255277257106
"969","24","1","1","3",2963,497.317749023438,0.167842642262382
"970","24","2","1","1",2956,690.543548583984,0.23360742509607
"971","24","2","1","2",2959,681.343963623047,0.230261562562706
"972","24","2","1","3",2953,586.755676269531,0.198698163315114
"973","24","3","1","1",2957,156.860931396484,0.0530473220820035
"974","24","3","1","2",2953,136.544067382812,0.0462391017212369
"975","24","3","1","3",2958,93.8476257324219,0.0317267159338816
"976","24","4","1","1",2953,496.411041259766,0.168103976044621
"977","24","4","1","2",2960,491.321685791016,0.165987056010478
"978","24","4","1","3",2955,570.922515869141,0.193205589126613
